RTL First name	RTL Last name	RTL Full name	Entity ID	Latin full name	Search URL
اسكندر	طويل	اسكندر طويل	60683	Iskandar Tawil	https://www.mideastmed.org/search/people?first-name=اسكندر&last-name=طويل
عارف	قعوار	عارف قعوار	60684	ʻArif Bulus Qaʻwar	https://www.mideastmed.org/search/people?first-name=عارف&last-name=قعوار
ميشيل	طوباسي	ميشيل طوباسي	60685	Michel Tubasi	https://www.mideastmed.org/search/people?first-name=ميشيل&last-name=طوباسي
وديع عيسى	صوابيني	وديع عيسى صوابيني	60686	Wadiʻ ʻIsa Sawabini	https://www.mideastmed.org/search/people?first-name=وديع عيسى&last-name=صوابيني
عيسى	صوابيني	عيسى صوابيني	60687	ʻIsa Sawabini	https://www.mideastmed.org/search/people?first-name=عيسى&last-name=صوابيني
عبد الرحيم صادق	سخن	عبد الرحيم صادق سخن	60688	Abd al-Rahim Sadiq Sukhn	https://www.mideastmed.org/search/people?first-name=عبد الرحيم صادق&last-name=سخن
اسعد	سلامة	اسعد سلامة	60689	Asʻad Salama	https://www.mideastmed.org/search/people?first-name=اسعد&last-name=سلامة
اغوب	غراغوصيان	اغوب غراغوصيان	60690	Agop Guiragossian	https://www.mideastmed.org/search/people?first-name=اغوب&last-name=غراغوصيان
سليم احمد	الخالدي	سليم احمد الخالدي	60691	Salim Ahmad al-Khalidi	https://www.mideastmed.org/search/people?first-name=سليم احمد&last-name=الخالدي
داؤد نقولا	طليل	داؤد نقولا طليل	60692	David Nicolas Talil	https://www.mideastmed.org/search/people?first-name=داؤد نقولا&last-name=طليل
سركيس ك.	سمردجيان	سركيس ك. سمردجيان	60693	Sarkis K. Semerdjian	https://www.mideastmed.org/search/people?first-name=سركيس ك.&last-name=سمردجيان
نايف سليم	بردقوش	نايف سليم بردقوش	60694	Naif Salim Burdqush	https://www.mideastmed.org/search/people?first-name=نايف سليم&last-name=بردقوش
سليم	مرينا	سليم مرينا	60695	Salim Marina	https://www.mideastmed.org/search/people?first-name=سليم&last-name=مرينا
وكيم	نجيب	وكيم نجيب	60696	Najib Wakim	https://www.mideastmed.org/search/people?first-name=وكيم&last-name=نجيب
